X1  Y1  Z1  X2  Y2  Z2  D  A/V
2436 175 337 2348 150 321 19 1
2533 895 152 2574 885 168 52 1
2557 2328 476 2519 2234 405 83 1
2577 62 454 2918 234 543 23 1
2602 423 293 2705 419 341 20 1
2613 314 341 2705 419 341 21 1
2614 1623 213 2618 1620 214 22 1
2646 1990 341 2662 2036 368 21 1
2695 245 410 2918 234 543 20 1
2703 1872 323 2685 1717 267 32 1
2706 1998 373 2662 2036 368 21 1
2777 2184 501 2744 2169 474 21 1
2825 1718 336 2775 1756 321 23 1
2825 1815 365 2833 1814 369 25 1
2832 601 345 2891 584 384 18 1
2851 1818 381 2844 1822 378 23 1
2865 2090 502 2744 2169 474 21 1
2895 1846 416 2899 1849 419 22 1
2908 1842 422 2907 1847 424 27 1
2961 75 666 2939 241 553 114 1
2961 1796 440 2921 1847 432 22 1
2999 517 473 3020 720 428 23 1
3052 2055 612 2921 1847 432 35 1
3076 694 473 3078 685 476 38 1
3137 1419 473 3135 1417 472 13 1
3139 309 668 2935 391 480 43 1
3179 1838 614 2852 1353 284 43 1
3222 734 576 3239 655 612 30 1
3280 586 671 3219 649 597 55 1
3280 1357 581 3135 1417 472 28 1
3298 641 669 3297 643 668 79 1
3300 644 670 3297 643 668 77 1
3320 1622 668 3084 1452 439 74 1
193 796 641 302 915 526 35 1
214 1054 586 332 1003 492 97 1
402 1062 436 358 1051 468 19 1
406 814 463 449 815 433 28 1
471 1851 509 564 2043 528 33 1
480 1280 382 477 1206 382 48 1
685 177 513 860 252 384 75 1
712 479 364 916 568 241 28 1
725 2299 572 826 2026 372 50 1
727 1734 316 768 2024 400 38 1
1003 773 160 958 730 185 40 1
1029 2146 343 1036 2126 331 20 1
1065 1691 166 1083 1694 161 37 1
1073 1193 102 939 990 154 44 1
1198 2190 311 1202 2020 233 48 1
1242 1426  71 1283 1478  69 33 1
1280 996  55 1337 830  63 37 1
1293 419 173 1180 524 166 35 1
1331 137 285 1468 79 291 27 1
1362 1317  38 1320 1370  50 28 1
1602 1296   8 1650 1664  56 35 1
1817 2269 278 1912 2302 301 32 1
1840 1477  22 1918 1632  53 34 1
1858 1649  52 1918 1632  53 29 1
1896 57 288 2029 33 315 25 1
1912 853  27 2003 827  39 35 1
2011 972  23 2107 809  55 36 1
2248 897  70 2261 779  90 30 1
2265 1299  61 2409 1327 100 39 1
2270 1996 214 2340 1999 234 35 1
2348 150 321 2291 335 222 29 1
2519 2234 405 2504 2164 362 83 1
2662 2036 368 2552 2158 378 21 1
2705 419 341 2891 584 384 26 1
2744 2169 474 2552 2158 378 24 1
2918 234 543 2939 241 553 47 1
2921 1847 432 2907 1847 424 39 1
3135 1417 472 3084 1452 439 33 1
3297 643 668 3239 655 612 96 1
302 915 526 332 1003 492 39 1
358 1051 468 342 1004 484 33 1
449 815 433 480 833 408 33 1
477 1206 382 527 1117 350 47 1
564 2043 528 768 2024 400 94 1
860 252 384 1180 524 166 70 1
916 568 241 1025 648 179 37 1
939 990 154 871 929 187 51 1
1036 2126 331 1046 2002 273 22 1
1083 1694 161 1321 1796 128 46 1
1320 1370  50 1315 1399  53 37 1
1337 830  63 1357 797  64 47 1
1468 79 291 1901 513  99 68 1
1650 1664  56 1659 1765  80 48 1
1912 2302 301 2061 2315 325 38 1
1918 1632  53 1999 1659  66 47 1
2003 827  39 2064 803  50 38 1
2029 33 315 2053 80 293 64 1
2291 335 222 2270 362 207 38 1
2409 1327 100 2474 1393 126 49 1
2552 2158 378 2504 2164 362 28 1
2891 584 384 2905 585 391 45 1
2907 1847 424 2899 1849 419 45 1
2939 241 553 2935 391 480 112 1
3084 1452 439 2852 1353 284 75 1
3239 655 612 3219 649 597 95 1
332 1003 492 342 1004 484 96 1
480 833 408 582 930 330 37 1
527 1117 350 522 965 363 48 1
768 2024 400 826 2026 372 96 1
871 929 187 858 799 211 48 1
1180 524 166 1213 576 143 81 1
1315 1399  53 1283 1478  69 37 1
1321 1796 128 1353 1795 122 58 1
1357 797  64 1406 739  67 56 1
1659 1765  80 1654 1778  83 61 1
1999 1659  66 2039 1670  73 41 1
2053 80 293 2102 146 266 65 1
2061 2315 325 2220 2227 308 69 1
2064 803  50 2107 809  55 40 1
2504 2164 362 2385 1943 226 91 1
2852 1353 284 2695 1225 200 64 1
2899 1849 419 2844 1822 378 43 1
2935 391 480 2905 585 391 102 1
3219 649 597 3078 685 476 92 1
342 1004 484 522 965 363 98 1
826 2026 372 939 1998 311 106 1
1283 1478  69 1349 1761 113 42 1
1406 739  67 1470 574  95 44 1
1654 1778  83 1683 1877 111 64 1
2039 1670  73 2170 1702 101 50 1
2102 146 266 2270 362 207 66 1
2107 809  55 2149 810  62 49 1
2220 2227 308 2340 1999 234 93 1
2844 1822 378 2833 1814 369 45 1
2905 585 391 2887 840 322 98 1
3078 685 476 3020 720 428 93 1
522 965 363 582 930 330 98 1
939 1998 311 1046 2002 273 97 1
1349 1761 113 1353 1795 122 48 1
2149 810  62 2261 779  90 51 1
2270 362 207 2484 787 151 83 1
2340 1999 234 2376 1949 225 98 1
2833 1814 369 2775 1756 321 50 1
3020 720 428 2887 840 322 104 1
582 930 330 626 911 308 97 1
1046 2002 273 1202 2020 233 100 1
1353 1795 122 1462 1885 132 79 1
2261 779  90 2357 709 127 73 1
2376 1949 225 2385 1943 226 104 1
2775 1756 321 2685 1717 267 51 1
2887 840 322 2694 1078 201 106 1
626 911 308 808 816 230 89 1
1202 2020 233 1482 1914 139 89 1
1462 1885 132 1482 1914 139 91 1
2385 1943 226 2420 1863 208 112 1
2685 1717 267 2618 1620 214 51 1
808 816 230 858 799 211 88 1
1482 1914 139 1683 1877 111 97 1
2420 1863 208 2475 1764 196 112 1
2618 1620 214 2582 1546 186 53 1
858 799 211 958 730 185 91 1
1683 1877 111 2170 1702 101 114 1
2475 1764 196 2582 1546 186 113 1
958 730 185 1025 648 179 92 1
2170 1702 101 2323 1551 103 114 1
2582 1546 186 2646 1250 180 108 1
1025 648 179 1213 576 143 94 1
2323 1551 103 2474 1393 126 120 1
1213 576 143 1271 585 127 110 1
2474 1393 126 2646 1250 180 107 1
1271 585 127 1470 574  95 113 1
2646 1250 180 2695 1225 200 83 1
1470 574  95 1583 576  83 115 1
2695 1225 200 2688 1184 196 96 1
1583 576  83 1706 562  81 114 1
1706 562  81 1901 513  99 115 1
1901 513  99 1943 521 100 113 1
1943 521 100 1957 521 101 121 1
1957 521 101 2227 622 115 117 1
2227 622 115 2357 709 127 132 1
2357 709 127 2484 787 151 139 1
2484 787 151 2574 885 168 163 1
2574 885 168 2694 1078 201 127 1
2694 1078 201 2702 1126 203 108 1
